kaBP,depth,accrate,Erica,Allophylus,Acacia,Combretum,Commiphora,Cussonia,Dobera,Lannea,Macaranga,Olea,Podocarpus,Phoenix,Rhus,Securinega,Teclea,Zanthoxylum,Melastomataceae,Cassia,Capparidaceae,Maytenus,Acalypha,Euphorbia,Euphorbiacea,Phyllantus,Tamarindus,Buxus,Psydrax,Celastraceae,Celtis,Alchornea,Dodonaea,Ekebergia,Ephedra,Ficus,Ilex,Clematis,Euclea,Hagenia,Juniperus,Myrica,Myrsine,Rapanea,Rosa,Schefflera,Hypoestes,Hypericum,Anthospermum,Alchemilla,Aloe,Chenopodiaceae,Artemisia,Cichoroideae,Aster,Asteroideae,Carduus,Cerastium,Cerealia,Plantago,Poaceae,Asteraceae,Vernonia,Rumex,Polygonum,Solanum,Tribulus,Apiaceae,Urticaceae,Ziziphus,Brucea,Ricinus,Sapotaceae,Iridaceae,Asphodellus,Anthyllis,Leguminosae,Galium,Rubiaceae,Brassicaceae,Acanthus,Blepharis,Justicia,Caryophylaceae,Chorcorus,Satureja,Swertia,Senecio,Heliotropium,Kohautia,Indigofera,Lamiaceae,Ranunculus,Thalictrum,Callytriche,Monoletes,Triletes,Cyperaceae,Typha,Botryococcus,Undetermined,Lycopodium,Lyc.conc
4.34,344,0,42,0,0,10,0,0,0,0,0,12,99,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,35,4,1,1,0,0,0,3,3,10,0,11,21,0,0,7,0,0,0,0,154,14,0,0,0,0,0,11,0,0,0,0,0,5,0,1,4,1,0,1,0,0,0,1,1,0,0,2,0,0,0,1,0,1,0,4,0,14,1,658,5,741,31272
4.473,353,13,15,0,0,10,0,0,0,0,0,15,87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,1,3,3,1,1,0,0,0,2,0,6,0,6,19,0,2,8,0,0,0,0,186,1,0,0,0,0,0,10,0,0,0,0,0,1,0,1,5,0,1,1,0,1,2,0,1,1,1,4,0,0,0,0,0,0,0,4,5,11,1,412,4,358,31272
4.549,359,16,10,0,0,10,0,0,0,0,0,10,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,5,10,15,0,1,0,2,0,1,0,3,0,8,22,0,1,16,0,0,0,0,120,16,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,2,1,1,1,4,0,0,1,0,1,1,0,0,0,0,0,2,4,6,0,521,5,410,31272
4.657,366,16,17,0,0,10,0,0,0,0,0,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,3,0,0,0,0,4,6,13,0,1,0,1,0,5,5,1,2,14,22,0,2,4,0,0,0,0,88,7,1,0,0,0,0,9,1,0,0,0,0,5,0,1,2,1,0,2,0,0,0,2,1,0,1,0,1,0,0,1,1,0,1,2,5,6,1,210,2,119,31272
4.735,371,14,21,0,0,7,0,0,0,0,0,12,92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,5,0,0,0,0,3,8,14,0,0,0,0,0,3,8,9,0,8,25,0,0,15,0,0,0,0,32,30,0,0,0,0,0,14,0,0,0,0,0,2,0,1,0,1,1,1,0,0,1,4,0,0,0,1,0,0,0,4,0,0,0,2,4,5,1,185,1,321,31272
4.841,378,16,37,0,0,9,0,0,0,0,0,12,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,5,0,0,0,0,5,8,15,0,1,0,0,0,0,9,12,0,3,17,0,2,3,0,0,0,0,108,6,0,0,0,0,0,2,0,0,0,0,0,5,0,1,3,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,0,0,0,5,3,8,1,1522,5,236,31272
4.934,384,13,42,0,0,9,0,0,0,0,0,16,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,5,0,0,0,0,5,3,14,2,2,0,0,1,2,3,3,0,16,2,0,1,11,0,0,0,0,40,23,0,0,0,0,0,5,0,0,0,0,0,1,0,1,1,1,1,2,1,0,2,3,0,0,0,4,1,0,0,1,0,0,1,5,4,5,1,1178,1,412,31272
5.047,392,17,50,0,2,3,0,0,0,0,0,8,108,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,7,10,1,2,0,0,0,4,4,3,0,21,2,0,0,6,0,0,0,0,109,32,0,0,0,0,0,14,0,0,0,0,0,1,0,1,2,0,0,0,1,1,1,3,0,1,0,1,0,1,0,1,0,1,0,1,4,10,1,645,3,102,31272
5.175,400,15,20,0,1,1,0,0,0,0,0,1,98,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,12,12,2,1,0,0,0,2,3,10,0,5,7,0,0,2,0,0,0,0,89,29,0,0,0,0,0,8,0,0,0,0,0,0,0,1,3,0,1,2,1,0,0,1,1,0,0,3,1,0,0,4,1,1,1,4,4,5,1,1203,4,145,31272
5.335,410,14,37,0,2,3,0,0,0,0,0,2,105,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,15,5,2,1,0,0,0,0,7,0,0,12,0,0,0,6,0,0,0,0,59,30,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4,0,0,0,5,1,0,1,1,2,0,0,3,5,7,1,1751,5,248,31272
